"Drug Crime Trend"
"Current date: 1/22/2019 9:16:50 AM (Mountain Standard Time)"
"Jurisdiction by Geography","Incident Date","Offense Type","Number of Crimes","Number of Offenses","Estimated Population",
"Adams County","2008","Crimes Against Person","8,252","7,298","746,640"
"Adams County","2008","Crimes Against Property","37,103","37,058","746,640"
"Adams County","2008","Crimes Against Society","7,714","7,714","746,640"
"Adams County","2009","Crimes Against Person","8,077","7,114","761,319"
"Adams County","2009","Crimes Against Property","35,576","35,523","761,319"
"Adams County","2009","Crimes Against Society","7,369","7,369","761,319"
"Adams County","2010","Crimes Against Person","7,975","7,085","766,734"
"Adams County","2010","Crimes Against Property","33,264","33,216","766,734"
"Adams County","2010","Crimes Against Society","7,030","7,030","766,734"
"Adams County","2011","Crimes Against Person","8,036","7,055","780,087"
"Adams County","2011","Crimes Against Property","31,542","31,507","780,087"
"Adams County","2011","Crimes Against Society","7,150","7,150","780,087"
"Adams County","2012","Crimes Against Person","10,000","8,688","794,180"
"Adams County","2012","Crimes Against Property","36,892","36,856","794,180"
"Adams County","2012","Crimes Against Society","8,883","8,883","794,180"
"Adams County","2013","Crimes Against Person","9,109","8,091","809,848"
"Adams County","2013","Crimes Against Property","37,982","37,943","809,848"
"Adams County","2013","Crimes Against Society","6,069","6,069","809,848"
"Adams County","2014","Crimes Against Person","9,849","8,735","828,003"
"Adams County","2014","Crimes Against Property","38,159","38,112","828,003"
"Adams County","2014","Crimes Against Society","6,151","6,151","828,003"
"Adams County","2015","Crimes Against Person","10,295","9,096","849,660"
"Adams County","2015","Crimes Against Property","39,905","39,871","849,660"
"Adams County","2015","Crimes Against Society","6,721","6,721","849,660"
"Adams County","2016","Crimes Against Person","11,437","9,958","849,660"
"Adams County","2016","Crimes Against Property","44,336","44,256","849,660"
"Adams County","2016","Crimes Against Society","7,294","7,294","849,660"
"Adams County","2017","Crimes Against Person","12,507","10,784","870,650"
"Adams County","2017","Crimes Against Property","43,539","43,455","870,650"
"Adams County","2017","Crimes Against Society","7,840","7,840","870,650"
"Alamosa County","2008","Crimes Against Person","22","22","15,366"
"Alamosa County","2008","Crimes Against Property","71","71","15,366"
"Alamosa County","2008","Crimes Against Society","4","4","15,366"
"Alamosa County","2009","Crimes Against Person","20","16","15,494"
"Alamosa County","2009","Crimes Against Property","92","92","15,494"
"Alamosa County","2009","Crimes Against Society","4","4","15,494"
"Alamosa County","2010","Crimes Against Person","9","9","15,445"
"Alamosa County","2010","Crimes Against Property","55","55","15,445"
"Alamosa County","2010","Crimes Against Society","1","1","15,445"
"Alamosa County","2011","Crimes Against Person","15","13","15,714"
"Alamosa County","2011","Crimes Against Property","54","54","15,714"
"Alamosa County","2011","Crimes Against Society","1","1","15,714"
"Alamosa County","2012","Crimes Against Person","21","17","15,927"
"Alamosa County","2012","Crimes Against Property","62","62","15,927"
"Alamosa County","2012","Crimes Against Society","6","6","15,927"
"Alamosa County","2013","Crimes Against Person","27","25","16,331"
"Alamosa County","2013","Crimes Against Property","107","107","16,331"
"Alamosa County","2013","Crimes Against Society","8","8","16,331"
"Alamosa County","2014","Crimes Against Person","7","7","16,436"
"Alamosa County","2014","Crimes Against Property","136","136","16,436"
"Alamosa County","2014","Crimes Against Society","18","18","16,436"
"Alamosa County","2015","Crimes Against Person","55","44","16,307"
"Alamosa County","2015","Crimes Against Property","281","281","16,307"
"Alamosa County","2015","Crimes Against Society","44","44","16,307"
"Alamosa County","2016","Crimes Against Person","48","48","16,307"
"Alamosa County","2016","Crimes Against Property","200","200","16,307"
"Alamosa County","2016","Crimes Against Society","24","24","16,307"
"Alamosa County","2017","Crimes Against Person","281","264","16,716"
"Alamosa County","2017","Crimes Against Property","1,140","1,140","16,716"
"Alamosa County","2017","Crimes Against Society","242","242","16,716"
"Arapahoe County","2008","Crimes Against Person","1,438","1,264","285,050"
